category,delivered_count
agro_industry_and_commerce,206
air_conditioning,289
art,197
arts_and_craftmanship,24
audio,362
auto,4140
baby,2982
bed_bath_table,10953
books_general_interest,537
books_imported,57
books_technical,263
cds_dvds_musicals,14
christmas_supplies,150
cine_photo,70
computers,199
computers_accessories,7644
consoles_games,1089
construction_tools_construction,916
construction_tools_lights,301
construction_tools_safety,183
cool_stuff,3718
costruction_tools_garden,232
costruction_tools_tools,103
diapers_and_hygiene,37
drinks,361
dvds_blu_ray,61
electronics,2729
fashio_female_clothing,45
fashion_bags_accessories,1985
fashion_childrens_clothes,7
fashion_male_clothing,125
fashion_shoes,257
fashion_sport,29
fashion_underwear_beach,127
fixed_telephony,255
flowers,33
food,499
food_drink,269
furniture_bedroom,103
furniture_decor,8160
furniture_living_room,495
furniture_mattress_and_upholstery,37
garden_tools,4268
health_beauty,9465
home_appliances,754
home_appliances_2,231
home_comfort_2,30
home_confort,429
home_construction,596
housewares,6795
industry_commerce_and_business,265
kitchen_dining_laundry_garden_furniture,274
la_cuisine,14
luggage_accessories,1077
market_place,305
music,38
musical_instruments,651
office_furniture,1668
party_supplies,42
pc_gamer,8
perfumery,3340
pet_shop,1924
portateis_cozinha_e_preparadores_de_alimentos,14
security_and_services,2
signaling_and_security,197
small_appliances,658
small_appliances_home_oven_and_coffee,73
sports_leisure,8431
stationery,2466
tablets_printing_image,83
telephony,4430
toys,4030
unknown,1537
watches_gifts,5859
